"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS3_41","PUBLISHED","1974","AMR","VCT","2","2.00000","","","","",""
"WHS3_41","PUBLISHED","1975","AMR","VCT","2","2.00000","","","","",""
"WHS3_41","PUBLISHED","1976","AMR","VCT","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1978","AMR","VCT","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1979","AMR","VCT","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1980","AMR","VCT","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1981","AMR","VCT","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1982","AMR","VCT","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1983","AMR","VCT","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1984","AMR","VCT","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1985","AMR","VCT","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1986","AMR","VCT","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1987","AMR","VCT","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1988","AMR","VCT","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1989","AMR","VCT","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1990","AMR","VCT","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1991","AMR","VCT","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1992","AMR","VCT","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1993","AMR","VCT","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1994","AMR","VCT","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1995","AMR","VCT","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1996","AMR","VCT","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1997","AMR","VCT","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1998","AMR","VCT","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","1999","AMR","VCT","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2000","AMR","VCT","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2001","AMR","VCT","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2002","AMR","VCT","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2003","AMR","VCT","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2004","AMR","VCT","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2005","AMR","VCT","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2006","AMR","VCT","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2007","AMR","VCT","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2008","AMR","VCT","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2009","AMR","VCT","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2010","AMR","VCT","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2011","AMR","VCT","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2012","AMR","VCT","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2013","AMR","VCT","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2014","AMR","VCT","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2015","AMR","VCT","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2016","AMR","VCT","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2017","AMR","VCT","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2018","AMR","VCT","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2019","AMR","VCT","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2020","AMR","VCT","0","0.00000","","","","",""
"WHS3_41","PUBLISHED","2021","AMR","VCT","0","0.00000","","","","",""
